// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 14 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 2s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 3,29s and exited with 0
// ***** Done, took 00:00:05 (5.47 sec)   *****
// Found 14 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForCacheArray2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-CECUFN(Jit=RyuJit, Platform=X64, Server=True)

WorkloadActual   9: 1 op, 786006800.00 ns, 786.0068 ms/op
WorkloadActual  10: 1 op, 773845200.00 ns, 773.8452 ms/op
WorkloadActual  11: 1 op, 777114500.00 ns, 777.1145 ms/op
WorkloadActual  12: 1 op, 776855400.00 ns, 776.8554 ms/op
WorkloadActual  13: 1 op, 778235100.00 ns, 778.2351 ms/op
WorkloadActual  14: 1 op, 776633300.00 ns, 776.6333 ms/op
WorkloadActual  15: 1 op, 774483300.00 ns, 774.4833 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 776575500.00 ns, 776.5755 ms/op
WorkloadResult   2: 1 op, 773957600.00 ns, 773.9576 ms/op
WorkloadResult   3: 1 op, 772060700.00 ns, 772.0607 ms/op
WorkloadResult   4: 1 op, 773818100.00 ns, 773.8181 ms/op
WorkloadResult   5: 1 op, 773448700.00 ns, 773.4487 ms/op
WorkloadResult   6: 1 op, 776788400.00 ns, 776.7884 ms/op
WorkloadResult   7: 1 op, 775984600.00 ns, 775.9846 ms/op
WorkloadResult   8: 1 op, 773845200.00 ns, 773.8452 ms/op
WorkloadResult   9: 1 op, 777114500.00 ns, 777.1145 ms/op
WorkloadResult  10: 1 op, 776855400.00 ns, 776.8554 ms/op
WorkloadResult  11: 1 op, 778235100.00 ns, 778.2351 ms/op
WorkloadResult  12: 1 op, 776633300.00 ns, 776.6333 ms/op
WorkloadResult  13: 1 op, 774483300.00 ns, 774.4833 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 775.3693 ms, StdErr = 0.5130 ms (0.07%); N = 13, StdDev = 1.8497 ms
Min = 772.0607 ms, Q1 = 773.8317 ms, Median = 775.9846 ms, Q3 = 776.8219 ms, Max = 778.2351 ms
IQR = 2.9903 ms, LowerFence = 769.3463 ms, UpperFence = 781.3073 ms
ConfidenceInterval = [773.1542 ms; 777.5843 ms] (CI 99.9%), Margin = 2.2150 ms (0.29% of Mean)
Skewness = -0.18, Kurtosis = 1.58, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqAll: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqAll" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 10 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-JPVWNB(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 483200.00 ns, 483.2000 us/op
WorkloadJitting  1: 1 op, 534715800.00 ns, 534.7158 ms/op

WorkloadWarmup   1: 1 op, 534386500.00 ns, 534.3865 ms/op
WorkloadWarmup   2: 1 op, 535827900.00 ns, 535.8279 ms/op
WorkloadWarmup   3: 1 op, 539349300.00 ns, 539.3493 ms/op
WorkloadWarmup   4: 1 op, 535898300.00 ns, 535.8983 ms/op
WorkloadWarmup   5: 1 op, 540824100.00 ns, 540.8241 ms/op
WorkloadWarmup   6: 1 op, 537633800.00 ns, 537.6338 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 529513800.00 ns, 529.5138 ms/op
WorkloadActual   2: 1 op, 540071500.00 ns, 540.0715 ms/op
WorkloadActual   3: 1 op, 533332300.00 ns, 533.3323 ms/op
WorkloadActual   4: 1 op, 530111300.00 ns, 530.1113 ms/op
WorkloadActual   5: 1 op, 530570100.00 ns, 530.5701 ms/op
WorkloadActual   6: 1 op, 539147700.00 ns, 539.1477 ms/op
WorkloadActual   7: 1 op, 534357200.00 ns, 534.3572 ms/op
WorkloadActual   8: 1 op, 537843700.00 ns, 537.8437 ms/op
WorkloadActual   9: 1 op, 532460800.00 ns, 532.4608 ms/op
WorkloadActual  10: 1 op, 540380700.00 ns, 540.3807 ms/op
WorkloadActual  11: 1 op, 531921700.00 ns, 531.9217 ms/op
WorkloadActual  12: 1 op, 531013300.00 ns, 531.0133 ms/op
WorkloadActual  13: 1 op, 532227000.00 ns, 532.2270 ms/op
WorkloadActual  14: 1 op, 537153300.00 ns, 537.1533 ms/op
WorkloadActual  15: 1 op, 534883400.00 ns, 534.8834 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 529513800.00 ns, 529.5138 ms/op
WorkloadResult   2: 1 op, 540071500.00 ns, 540.0715 ms/op
WorkloadResult   3: 1 op, 533332300.00 ns, 533.3323 ms/op
WorkloadResult   4: 1 op, 530111300.00 ns, 530.1113 ms/op
WorkloadResult   5: 1 op, 530570100.00 ns, 530.5701 ms/op
WorkloadResult   6: 1 op, 539147700.00 ns, 539.1477 ms/op
WorkloadResult   7: 1 op, 534357200.00 ns, 534.3572 ms/op
WorkloadResult   8: 1 op, 537843700.00 ns, 537.8437 ms/op
WorkloadResult   9: 1 op, 532460800.00 ns, 532.4608 ms/op
WorkloadResult  10: 1 op, 540380700.00 ns, 540.3807 ms/op
WorkloadResult  11: 1 op, 531921700.00 ns, 531.9217 ms/op
WorkloadResult  12: 1 op, 531013300.00 ns, 531.0133 ms/op
WorkloadResult  13: 1 op, 532227000.00 ns, 532.2270 ms/op
WorkloadResult  14: 1 op, 537153300.00 ns, 537.1533 ms/op
WorkloadResult  15: 1 op, 534883400.00 ns, 534.8834 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 534.3325 ms, StdErr = 0.9618 ms (0.18%); N = 15, StdDev = 3.7249 ms
Min = 529.5138 ms, Q1 = 531.0133 ms, Median = 533.3323 ms, Q3 = 537.8437 ms, Max = 540.3807 ms
IQR = 6.8304 ms, LowerFence = 520.7677 ms, UpperFence = 548.0893 ms
ConfidenceInterval = [530.3503 ms; 538.3147 ms] (CI 99.9%), Margin = 3.9822 ms (0.75% of Mean)
Skewness = 0.36, Kurtosis = 1.53, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqAll2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqAll2" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 11 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-JGPDBB(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 425900.00 ns, 425.9000 us/op
WorkloadJitting  1: 1 op, 779028500.00 ns, 779.0285 ms/op

WorkloadWarmup   1: 1 op, 775776800.00 ns, 775.7768 ms/op
WorkloadWarmup   2: 1 op, 782292300.00 ns, 782.2923 ms/op
WorkloadWarmup   3: 1 op, 775610600.00 ns, 775.6106 ms/op
WorkloadWarmup   4: 1 op, 781722100.00 ns, 781.7221 ms/op
WorkloadWarmup   5: 1 op, 773490900.00 ns, 773.4909 ms/op
WorkloadWarmup   6: 1 op, 780580100.00 ns, 780.5801 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 773112500.00 ns, 773.1125 ms/op
WorkloadActual   2: 1 op, 784308600.00 ns, 784.3086 ms/op
WorkloadActual   3: 1 op, 773327300.00 ns, 773.3273 ms/op
WorkloadActual   4: 1 op, 771866200.00 ns, 771.8662 ms/op
WorkloadActual   5: 1 op, 782599500.00 ns, 782.5995 ms/op
WorkloadActual   6: 1 op, 775383200.00 ns, 775.3832 ms/op
WorkloadActual   7: 1 op, 780351500.00 ns, 780.3515 ms/op
WorkloadActual   8: 1 op, 783840700.00 ns, 783.8407 ms/op
WorkloadActual   9: 1 op, 773473500.00 ns, 773.4735 ms/op
WorkloadActual  10: 1 op, 789700000.00 ns, 789.7000 ms/op
WorkloadActual  11: 1 op, 785529900.00 ns, 785.5299 ms/op
WorkloadActual  12: 1 op, 783801100.00 ns, 783.8011 ms/op
WorkloadActual  13: 1 op, 796893100.00 ns, 796.8931 ms/op
WorkloadActual  14: 1 op, 780841200.00 ns, 780.8412 ms/op
WorkloadActual  15: 1 op, 791247800.00 ns, 791.2478 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 773112500.00 ns, 773.1125 ms/op
WorkloadResult   2: 1 op, 784308600.00 ns, 784.3086 ms/op
WorkloadResult   3: 1 op, 773327300.00 ns, 773.3273 ms/op
WorkloadResult   4: 1 op, 771866200.00 ns, 771.8662 ms/op
WorkloadResult   5: 1 op, 782599500.00 ns, 782.5995 ms/op
WorkloadResult   6: 1 op, 775383200.00 ns, 775.3832 ms/op
WorkloadResult   7: 1 op, 780351500.00 ns, 780.3515 ms/op
WorkloadResult   8: 1 op, 783840700.00 ns, 783.8407 ms/op
WorkloadResult   9: 1 op, 773473500.00 ns, 773.4735 ms/op
WorkloadResult  10: 1 op, 789700000.00 ns, 789.7000 ms/op
WorkloadResult  11: 1 op, 785529900.00 ns, 785.5299 ms/op
WorkloadResult  12: 1 op, 783801100.00 ns, 783.8011 ms/op
WorkloadResult  13: 1 op, 796893100.00 ns, 796.8931 ms/op
WorkloadResult  14: 1 op, 780841200.00 ns, 780.8412 ms/op
WorkloadResult  15: 1 op, 791247800.00 ns, 791.2478 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 781.7517 ms, StdErr = 1.9123 ms (0.24%); N = 15, StdDev = 7.4061 ms
Min = 771.8662 ms, Q1 = 773.4735 ms, Median = 782.5995 ms, Q3 = 785.5299 ms, Max = 796.8931 ms
IQR = 12.0564 ms, LowerFence = 755.3889 ms, UpperFence = 803.6145 ms
ConfidenceInterval = [773.8341 ms; 789.6694 ms] (CI 99.9%), Margin = 7.9176 ms (1.01% of Mean)
Skewness = 0.31, Kurtosis = 2.03, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqAny: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqAny" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 12 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-EXSKYB(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 531800.00 ns, 531.8000 us/op
WorkloadJitting  1: 1 op, 541886800.00 ns, 541.8868 ms/op

WorkloadWarmup   1: 1 op, 537320300.00 ns, 537.3203 ms/op
WorkloadWarmup   2: 1 op, 538212000.00 ns, 538.2120 ms/op
WorkloadWarmup   3: 1 op, 538330200.00 ns, 538.3302 ms/op
WorkloadWarmup   4: 1 op, 535367400.00 ns, 535.3674 ms/op
WorkloadWarmup   5: 1 op, 537933700.00 ns, 537.9337 ms/op
WorkloadWarmup   6: 1 op, 535521100.00 ns, 535.5211 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 541686300.00 ns, 541.6863 ms/op
WorkloadActual   2: 1 op, 535882600.00 ns, 535.8826 ms/op
WorkloadActual   3: 1 op, 536424800.00 ns, 536.4248 ms/op
WorkloadActual   4: 1 op, 535012700.00 ns, 535.0127 ms/op
WorkloadActual   5: 1 op, 535964300.00 ns, 535.9643 ms/op
WorkloadActual   6: 1 op, 535723600.00 ns, 535.7236 ms/op
WorkloadActual   7: 1 op, 536761100.00 ns, 536.7611 ms/op
WorkloadActual   8: 1 op, 533870100.00 ns, 533.8701 ms/op
WorkloadActual   9: 1 op, 537585400.00 ns, 537.5854 ms/op
WorkloadActual  10: 1 op, 540760600.00 ns, 540.7606 ms/op
WorkloadActual  11: 1 op, 536054300.00 ns, 536.0543 ms/op
WorkloadActual  12: 1 op, 535870100.00 ns, 535.8701 ms/op
WorkloadActual  13: 1 op, 536939100.00 ns, 536.9391 ms/op
WorkloadActual  14: 1 op, 535706300.00 ns, 535.7063 ms/op
WorkloadActual  15: 1 op, 534331100.00 ns, 534.3311 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 535882600.00 ns, 535.8826 ms/op
WorkloadResult   2: 1 op, 536424800.00 ns, 536.4248 ms/op
WorkloadResult   3: 1 op, 535012700.00 ns, 535.0127 ms/op
WorkloadResult   4: 1 op, 535964300.00 ns, 535.9643 ms/op
WorkloadResult   5: 1 op, 535723600.00 ns, 535.7236 ms/op
WorkloadResult   6: 1 op, 536761100.00 ns, 536.7611 ms/op
WorkloadResult   7: 1 op, 533870100.00 ns, 533.8701 ms/op
WorkloadResult   8: 1 op, 537585400.00 ns, 537.5854 ms/op
WorkloadResult   9: 1 op, 536054300.00 ns, 536.0543 ms/op
WorkloadResult  10: 1 op, 535870100.00 ns, 535.8701 ms/op
WorkloadResult  11: 1 op, 536939100.00 ns, 536.9391 ms/op
WorkloadResult  12: 1 op, 535706300.00 ns, 535.7063 ms/op
WorkloadResult  13: 1 op, 534331100.00 ns, 534.3311 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 535.8558 ms, StdErr = 0.2817 ms (0.05%); N = 13, StdDev = 1.0157 ms
Min = 533.8701 ms, Q1 = 535.3595 ms, Median = 535.8826 ms, Q3 = 536.5930 ms, Max = 537.5854 ms
IQR = 1.2335 ms, LowerFence = 533.5093 ms, UpperFence = 538.4431 ms
ConfidenceInterval = [534.6395 ms; 537.0721 ms] (CI 99.9%), Margin = 1.2163 ms (0.23% of Mean)
Skewness = -0.34, Kurtosis = 2.35, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqAny2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqAny2" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 13 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-SVYEZT(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 468500.00 ns, 468.5000 us/op
WorkloadJitting  1: 1 op, 792510300.00 ns, 792.5103 ms/op

WorkloadWarmup   1: 1 op, 790670800.00 ns, 790.6708 ms/op
WorkloadWarmup   2: 1 op, 792995900.00 ns, 792.9959 ms/op
WorkloadWarmup   3: 1 op, 789174600.00 ns, 789.1746 ms/op
WorkloadWarmup   4: 1 op, 795544400.00 ns, 795.5444 ms/op
WorkloadWarmup   5: 1 op, 792139300.00 ns, 792.1393 ms/op
WorkloadWarmup   6: 1 op, 792656000.00 ns, 792.6560 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 791641200.00 ns, 791.6412 ms/op
WorkloadActual   2: 1 op, 800432800.00 ns, 800.4328 ms/op
WorkloadActual   3: 1 op, 791644900.00 ns, 791.6449 ms/op
WorkloadActual   4: 1 op, 790088100.00 ns, 790.0881 ms/op
WorkloadActual   5: 1 op, 790227300.00 ns, 790.2273 ms/op
WorkloadActual   6: 1 op, 793546600.00 ns, 793.5466 ms/op
WorkloadActual   7: 1 op, 791298400.00 ns, 791.2984 ms/op
WorkloadActual   8: 1 op, 797890600.00 ns, 797.8906 ms/op
WorkloadActual   9: 1 op, 794706800.00 ns, 794.7068 ms/op
WorkloadActual  10: 1 op, 794825700.00 ns, 794.8257 ms/op
WorkloadActual  11: 1 op, 791803600.00 ns, 791.8036 ms/op
WorkloadActual  12: 1 op, 790819600.00 ns, 790.8196 ms/op
WorkloadActual  13: 1 op, 794190700.00 ns, 794.1907 ms/op
WorkloadActual  14: 1 op, 792780600.00 ns, 792.7806 ms/op
WorkloadActual  15: 1 op, 790461700.00 ns, 790.4617 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 791641200.00 ns, 791.6412 ms/op
WorkloadResult   2: 1 op, 800432800.00 ns, 800.4328 ms/op
WorkloadResult   3: 1 op, 791644900.00 ns, 791.6449 ms/op
WorkloadResult   4: 1 op, 790088100.00 ns, 790.0881 ms/op
WorkloadResult   5: 1 op, 790227300.00 ns, 790.2273 ms/op
WorkloadResult   6: 1 op, 793546600.00 ns, 793.5466 ms/op
WorkloadResult   7: 1 op, 791298400.00 ns, 791.2984 ms/op
WorkloadResult   8: 1 op, 797890600.00 ns, 797.8906 ms/op
WorkloadResult   9: 1 op, 794706800.00 ns, 794.7068 ms/op
WorkloadResult  10: 1 op, 794825700.00 ns, 794.8257 ms/op
WorkloadResult  11: 1 op, 791803600.00 ns, 791.8036 ms/op
WorkloadResult  12: 1 op, 790819600.00 ns, 790.8196 ms/op
WorkloadResult  13: 1 op, 794190700.00 ns, 794.1907 ms/op
WorkloadResult  14: 1 op, 792780600.00 ns, 792.7806 ms/op
WorkloadResult  15: 1 op, 790461700.00 ns, 790.4617 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 793.0906 ms, StdErr = 0.7635 ms (0.10%); N = 15, StdDev = 2.9571 ms
Min = 790.0881 ms, Q1 = 790.8196 ms, Median = 791.8036 ms, Q3 = 794.7068 ms, Max = 800.4328 ms
IQR = 3.8872 ms, LowerFence = 784.9888 ms, UpperFence = 800.5376 ms
ConfidenceInterval = [789.9292 ms; 796.2519 ms] (CI 99.9%), Margin = 3.1614 ms (0.40% of Mean)
Skewness = 1.09, Kurtosis = 3.22, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\CSharpBenchmarks.ArrayAccessMethods-report.csv
  BenchmarkDotNet.Artifacts\results\CSharpBenchmarks.ArrayAccessMethods-report-github.md
  BenchmarkDotNet.Artifacts\results\CSharpBenchmarks.ArrayAccessMethods-report.html
  BenchmarkDotNet.Artifacts\results\CSharpBenchmarks.ArrayAccessMethods-report.txt

// * Detailed results *
ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 27.3656 ms, StdErr = 0.0325 ms (0.12%); N = 15, StdDev = 0.1259 ms
Min = 27.2066 ms, Q1 = 27.2846 ms, Median = 27.3183 ms, Q3 = 27.4419 ms, Max = 27.6754 ms
IQR = 0.1573 ms, LowerFence = 27.0486 ms, UpperFence = 27.6778 ms
ConfidenceInterval = [27.2311 ms; 27.5002 ms] (CI 99.9%), Margin = 0.1346 ms (0.49% of Mean)
Skewness = 1.05, Kurtosis = 3.11, MValue = 2
-------------------- Histogram --------------------
[27.162 ms ; 27.720 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.ForCacheArray2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 44.8876 ms, StdErr = 0.0123 ms (0.03%); N = 13, StdDev = 0.0445 ms
Min = 44.8199 ms, Q1 = 44.8610 ms, Median = 44.8893 ms, Q3 = 44.9102 ms, Max = 44.9895 ms
IQR = 0.0492 ms, LowerFence = 44.7873 ms, UpperFence = 44.9839 ms
ConfidenceInterval = [44.8344 ms; 44.9409 ms] (CI 99.9%), Margin = 0.0532 ms (0.12% of Mean)
Skewness = 0.59, Kurtosis = 2.89, MValue = 2
-------------------- Histogram --------------------
[44.803 ms ; 45.006 ms) | @@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.For: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 41.0026 ms, StdErr = 0.0582 ms (0.14%); N = 15, StdDev = 0.2252 ms
Min = 40.8273 ms, Q1 = 40.8498 ms, Median = 40.8983 ms, Q3 = 41.1436 ms, Max = 41.5813 ms
IQR = 0.2938 ms, LowerFence = 40.4091 ms, UpperFence = 41.5843 ms
ConfidenceInterval = [40.7618 ms; 41.2434 ms] (CI 99.9%), Margin = 0.2408 ms (0.59% of Mean)
Skewness = 1.3, Kurtosis = 3.49, MValue = 2
-------------------- Histogram --------------------
[40.747 ms ; 41.661 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.For2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 86.0924 ms, StdErr = 0.2898 ms (0.34%); N = 15, StdDev = 1.1223 ms
Min = 84.9269 ms, Q1 = 85.2615 ms, Median = 85.9351 ms, Q3 = 86.9426 ms, Max = 88.3363 ms
IQR = 1.6811 ms, LowerFence = 82.7398 ms, UpperFence = 89.4642 ms
ConfidenceInterval = [84.8926 ms; 87.2923 ms] (CI 99.9%), Margin = 1.1998 ms (1.39% of Mean)
Skewness = 0.77, Kurtosis = 2.28, MValue = 2
-------------------- Histogram --------------------
[84.529 ms ; 88.734 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.ForEach: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 27.8946 ms, StdErr = 0.0359 ms (0.13%); N = 14, StdDev = 0.1342 ms
Min = 27.7647 ms, Q1 = 27.8000 ms, Median = 27.8223 ms, Q3 = 27.9547 ms, Max = 28.2070 ms
IQR = 0.1547 ms, LowerFence = 27.5680 ms, UpperFence = 28.1867 ms
ConfidenceInterval = [27.7432 ms; 28.0460 ms] (CI 99.9%), Margin = 0.1514 ms (0.54% of Mean)
Skewness = 1.09, Kurtosis = 2.9, MValue = 2
-------------------- Histogram --------------------
[27.716 ms ; 28.256 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.ForEach2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 233.7753 ms, StdErr = 0.1276 ms (0.05%); N = 14, StdDev = 0.4773 ms
Min = 233.0502 ms, Q1 = 233.4093 ms, Median = 233.7535 ms, Q3 = 233.9393 ms, Max = 234.6459 ms
IQR = 0.5300 ms, LowerFence = 232.6142 ms, UpperFence = 234.7344 ms
ConfidenceInterval = [233.2369 ms; 234.3138 ms] (CI 99.9%), Margin = 0.5385 ms (0.23% of Mean)
Skewness = 0.37, Kurtosis = 2, MValue = 2
-------------------- Histogram --------------------
[232.877 ms ; 234.819 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqAggregate: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 441.4400 ms, StdErr = 0.7724 ms (0.17%); N = 14, StdDev = 2.8899 ms
Min = 438.0270 ms, Q1 = 438.6712 ms, Median = 440.9093 ms, Q3 = 442.6464 ms, Max = 448.0366 ms
